Code;Désignation courte;Famille;Prix de Vte HT;Prix de Vte TTC;Stock théor.;Stock réel;Stock disponible;Quantité en cde client;Quantité en cde fournisseur
LOG-CERT-SMIME;Certificat S/MIME — Signature mail;Logiciel;1.49;1.79;-64;;-64;64;
LOG-FOXIT-PERP;Foxit — Licence perpétuelle;Logiciel;189;226.8;-63;-63;-63;;
LOG-MS365-NCE-BIZ-BAS;Microsoft 365 NCE — Business basic;Logiciel;71.900000000000006;86.28;-63;-63;-64;;
RES-V7-RJ45-50CM-VE;V7 — Câble RJ45 50 cm vert;Materiels reseau;1.99;2.39;-63;-83;-83;;20
TEL-YEA-W60-PACK;Yealink W60 pack — Téléphone sans fil;Telephone;160;192;-63;-55;-55;8;
DD-HP-960-SRV;Hp — Disque dur serveur 960 Go;Disques durs;889;1066.8;-61;-60;-60;1;
ECR-SAMSUNG-S27R;"Samsung S27R650FDU — Écran 27""";Ecrans;259;310.8;-59;-59;-59;;
ACC-HP-LINK5;Hp Link-5 — Clavier sans fil;Accessoires PC;39;46.8;-57;-56;-56;1;
ACC-LOGI-K120;Logitech K120 — Clavier filaire;Accessoires PC;19.899999999999999;23.88;-57;-46;-46;18;7
PC-HP-255-G7;"Hp 255 G7 — Portable 15"" 8 Go / 256 SSD";PC portable / tablette / surface;719;862.8;-56;-51;-55;5;
LOG-MS365-NCE-EXCH-P1;Microsoft 365 NCE — Exchange plan 1;Logiciel;52.9;63.48;-56;-56;-56;;
LOG-MS-WIN10-PRO;Microsoft Windows 10 pro;Logiciel;159;190.8;-56;-52;-52;4;
TEL-CASQ-WH66;Casque sans fil WH66;Telephone;239;286.8;-55;-54;-59;1;
TEL-FRAIS-PORTA;Frais portabilité numéro;Telephone;120;144;-53;-49;-55;4;
ACC-PERIXX-ERGO;Perixx — Souris ergonomique;Accessoires PC;49;58.8;-53;-36;-36;17;
PC-HP-PB455-G8;"Hp ProBook 455 G8 — Portable 15"" 16 Go / 512 SSD";PC portable / tablette / surface;909;1090.8;-52;-41;-50;11;
RES-V7-RJ45-1M-VE;V7 — Câble RJ45 1 m vert;Materiels reseau;2.95;3.54;-52;-72;-72;;20
LOG-VM-PFSENSE;VM Pfsense;Logiciel;19;22.8;-52;-47;-52;5;
PC-HP-290-G9;Hp 290 G9 — Micro tower;PC fixe;619;742.8;-50;-42;-42;8;
LOG-MS365-MIG-EXCH;Microsoft 365 — Migration Exchange;Logiciel;158;189.6;-49.5;-48;-49.5;1.5;
PC-ACER-ASP5-17;"Acer aspire 5 — Portable 17"" 16 Go / 512 SSD";PC portable / tablette / surface;1049;1258.8;-48;-47;-52;1;
LOG-MS-WIN2019-ESS;Microsoft Windows server 2019 — Essentials;Logiciel;549;658.8;-46;-45;-45;1;
ACC-CHERRY-MW4500;Cherry MW-4500 — Souris sans fil;Accessoires PC;35.9;43.08;-45;-47;-46;;2
ECR-ACER-V247Y;"Acer V247Ybip — Écran 23,8""";Ecrans;149;178.8;-45;-44;-44;5;4
LOG-MS365-NCE-BIZ-STD;Microsoft 365 NCE — Business standard / an;Logiciel;152.9;183.48;-45;-43;-43;2;
LOG-ESET-IS-2A;Eset internet security — 2 Ans;Logiciel;59.98;71.98;-44;-43;-44;1;
RES-EATON-ECO500;Eaton Ellipse eco 500 — Onduleur FR;Materiels reseau;149;178.8;-44;-44;-45;10;10
LOG-MS-WIN-SRV22;Microsoft Windows server 2022;Logiciel;849;1018.8;-44;-44;-44;;
ECR-ACER-V247YM;"Acer V247Ybmipx — Écran 23,8""";Ecrans;155.5;186.6;-42;-52;-52;2;12
LOG-WS-PRO-PC-3A;WithSecure professionnel — PC 3 ans;Logiciel;57.9;69.48;-42;-38;-40;4;
LOG-MS-WIN2019-LIC;Microsoft Windows server 2019 — Licence;Logiciel;;;-42;-41;-41;1;
SRV-SYNO-DS420J;Synology DiskStation DS420j — Serveur NAS;Serveur;499;598.79999999999995;-42;-33;-35;9;
MEM-16G-DDR4-2933;Mémoire 16 Go DDR4 DIMM 2933 MHz;Memoires vives;349;418.8;-41;-45;-45;;4
LOG-WEB-MODULE;Module site internet;Logiciel;;;-41;-41;-41;;
TEL-YEA-T46S;Yealink T46S — Téléphone filaire;Telephone;279;334.8;-41;-43;-43;1;3
PC-HP-250-G8;Hp 250 G8 — Portable 8 Go / 256 SSD;PC portable / tablette / surface;669;802.8;-40;-40;-40;;
PC-ASUS-EXPB-15;"Asus ExpertBook — Portable 15"" 8 Go / 256 SSD";PC portable / tablette / surface;789;946.8;-39;-39;-39;;
LOG-SSL-WILDCARD;Certificat SSL wildcard — 1 An;Logiciel;239;286.8;-39;-39;-40;;
LOG-VEEAM-BACKUP;Veeam backup;Logiciel;435;522;-39;-37;-38;2;
