Code;Désignation courte;Famille;Prix de Vte HT;Prix de Vte TTC;Stock théor.;Stock réel;Stock disponible;Quantité en cde client;Quantité en cde fournisseur
ART2693;"Ecran Samsung S27R650FDU 27""";ECRANS;259;310.8;-59;-59;-59;;
ART2209;HP Link-5, Clavier sans fil;ACCESSOIRES PC;39;46.8;-57;-56;-56;1;
ART0194;LOGITECH Clavier filaire K120;ACCESSOIRES PC;19.899999999999999;23.88;-57;-46;-46;18;7
ART2681;"HP 255 G7,15"",8Go,256ssd";PC PORTABLE / TABLETTE / SURFACE;719;862.8;-56;-51;-55;5;
ART3065;Licence M365 NCE - Exchange P1;;52.9;63.48;-56;-56;-56;;
ART0534;Microsoft Windows 10 Pro;LOGICIEL;159;190.8;-56;-52;-52;4;
ART2867;Casque sans fil WH66;TELEPHONE;239;286.8;-55;-54;-59;1;
ART2599;Frais portabilité numéro;TELEPHONE;120;144;-53;-49;-55;4;
ART2577;Souris ergonomique Perixx;ACCESSOIRES PC;49;58.8;-53;-36;-36;17;
ART2697;"HP ProBook 455 G8,15"", 16go,512ssd";PC PORTABLE / TABLETTE / SURFACE;909;1090.8;-52;-41;-50;11;
ART1899;V7, Câble RJ45 1M vert;MATERIELS RESEAU;2.95;3.54;-52;-72;-72;;20
ART3030;VM PF SENSE;LOGICIEL;19;22.8;-52;-47;-52;5;
ART2380;HP 290 G9 - Micro tower;PC FIXE;619;742.8;-50;-42;-42;8;
ART2888;MICROSOFT 365 Migration Exchange;MICROSOFT 365;158;189.6;-49.5;-48;-49.5;1.5;
ART2660;"Acer Aspire 5 A ,17"",16go, 512ssd";PC PORTABLE / TABLETTE / SURFACE;1049;1258.8;-48;-47;-52;1;
ART1968;Microsoft Windows Server 2019 Essen;LOGICIEL;549;658.8;-46;-45;-45;1;
ART1225;CHERRY  Souris sans fil MW-4500;ACCESSOIRES PC;35.9;43.08;-45;-47;-46;;2
ART1841;"Ecran Acer V247Ybip, 23,8""";ECRANS;149;178.8;-45;-44;-44;5;4
ART3068;M365 NCE - Business Standard /an;;152.9;183.48;-45;-43;-43;2;
ART2975;Antivirus Eset Internet Security 2a;LOGICIEL;59.98;71.98;-44;-43;-44;1;
ART0319;EATON ELLIPSE Onduleur ECO 500 FR;MATERIELS RESEAU;149;178.8;-44;-44;-45;10;10
ART2519;Microsoft Windows Server 2022;LOGICIEL;849;1018.8;-44;-44;-44;;
ART1035;"Ecran ACER V247Ybmipx 23,8""";ECRANS;155.5;186.6;-42;-52;-52;2;12
ART2810;F Secure Professionnel -  PC 3 ans;LOGICIEL;57.9;69.48;-42;-38;-40;4;
